snapshot_hour_utc,game_id,name,is_game,rank,viewers_top100,channels_top100,share_top1,v_short,v_day,c_short,flags,score,components,steam_appid
2026-09-09T16,33214,Fortnite,True,15,20946,96,0.0877,0.7402630096000724,-0.23379983359378564,0.010471299867295437,,1.232,channel_growth_day=-0.03;channel_growth_short=+0.02;viewer_growth_day=-0.23;viewer_growth_short=+1.48,
2026-09-09T16,66082,Games + Demos,False,93,2383,100,0.1624,,-0.2168290702193639,,ENTRY,1.203,channel_growth_day=+0.00;entry_short=+1.50;rank_climb=-0.08;viewer_growth_day=-0.22,
2026-09-09T16,515025,Overwatch,True,20,17543,100,0.1416,0.5424633873140836,0.02405723334304741,0.0,,1.186,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=+0.16;steam_growth=-0.08;viewer_growth_day=+0.02;viewer_growth_short=+1.08,2357570
2026-09-09T16,30921,Rocket League,True,56,5542,94,0.255,0.836053722782995,-0.137515685844484,-0.06187540371808753,,1.132,channel_growth_day=-0.05;channel_growth_short=-0.09;rank_climb=-0.16;steam_growth=-0.10;viewer_growth_day=-0.14;viewer_growth_short=+1.67,252950
2026-09-09T16,1357871551,The Blood of Dawnwalker,True,14,29417,100,0.1376,0.7683461689451183,-0.23591811950042804,0.0,,1.084,channel_growth_day=+0.02;channel_growth_short=+0.00;rank_climb=-0.08;steam_growth=-0.15;viewer_growth_day=-0.24;viewer_growth_short=+1.54,3751260
2026-09-09T16,511224,Apex Legends,True,25,14152,98,0.2672,0.11140854014145408,-0.183827864742108,0.010256500167189061,IGNITION:mande,1.039,channel_growth_day=-0.02;channel_growth_short=+0.02;ignition=+1.00;steam_growth=-0.00;viewer_growth_day=-0.18;viewer_growth_short=+0.22,1172470
2026-09-09T16,29595,Dota 2,True,9,51373,99,0.1384,0.4804643973204073,0.01660489574781857,0.030771658666753687,,1.035,channel_growth_day=+0.01;channel_growth_short=+0.05;steam_growth=+0.00;viewer_growth_day=+0.02;viewer_growth_short=+0.96,570
2026-09-09T16,493959,Red Dead Redemption II,True,96,2367,99,0.1525,0.1369774829125305,,0.030771658666753687,ENTRY,1.022,channel_growth_short=+0.05;entry_day=+0.75;steam_growth=-0.05;viewer_growth_short=+0.27,1174180
2026-09-09T16,491487,Dead by Daylight,True,19,14628,97,0.1019,0.8095980440666569,-0.5329739351170503,-0.030459207484708574,,0.989,channel_growth_day=-0.01;channel_growth_short=-0.05;rank_climb=-0.12;steam_growth=+0.08;viewer_growth_day=-0.53;viewer_growth_short=+1.62,381210
2026-09-09T16,327598602,Onimusha: Way of the Sword,True,26,14695,98,0.2187,0.3485902776294448,-0.4047616737311398,-0.020202707317519466,IGNITION:baitybait,0.988,channel_growth_day=-0.01;channel_growth_short=-0.03;ignition=+1.00;rank_climb=-0.20;steam_growth=-0.07;viewer_growth_day=-0.40;viewer_growth_short=+0.70,2638890
2026-09-09T16,491931,Escape from Tarkov,True,11,36133,98,0.2053,0.6247208954422785,-0.2555949611835592,-0.020202707317519466,,0.924,channel_growth_day=+0.00;channel_growth_short=-0.03;rank_climb=-0.04;viewer_growth_day=-0.26;viewer_growth_short=+1.25,3932890
2026-09-09T16,499973,Always On,False,32,12304,100,0.1915,-0.3172708589673649,-0.29621996800470296,0.0,"IGNITION:theburntpeanut_247,cineillojuan",0.909,channel_growth_day=+0.00;channel_growth_short=+0.00;ignition=+2.00;rank_climb=-0.16;viewer_growth_day=-0.30;viewer_growth_short=-0.63,
2026-09-09T16,32982,Grand Theft Auto V,True,2,105425,99,0.0901,0.7241761642456247,-0.49915714712639947,-0.01005033585350145,,0.893,channel_growth_day=+0.00;channel_growth_short=-0.02;steam_growth=-0.04;viewer_growth_day=-0.50;viewer_growth_short=+1.45,271590
2026-09-09T16,65632,DayZ,True,66,5402,99,0.2325,0.7401433237001959,-0.22971208299407728,0.041242958534049,,0.826,channel_growth_day=-0.01;channel_growth_short=+0.06;rank_climb=-0.40;steam_growth=-0.08;viewer_growth_day=-0.23;viewer_growth_short=+1.48,221100
2026-09-09T16,602040818,NBA 2K27,True,41,7851,100,0.1008,0.3664942718550639,-0.06639960826299632,0.06187540371808745,,0.822,channel_growth_day=+0.02;channel_growth_short=+0.09;rank_climb=+0.04;viewer_growth_day=-0.07;viewer_growth_short=+0.73,4356430
2026-09-09T16,6521,Grand Theft Auto: San Andreas,True,81,4234,57,0.5742,0.3643975131408154,-0.03891181039159656,0.3053816495511819,,0.802,channel_growth_day=-0.19;channel_growth_short=+0.46;rank_climb=-0.16;viewer_growth_day=-0.04;viewer_growth_short=+0.73,12120
2026-09-09T16,2132205352,Deadlock,True,54,6760,92,0.1929,0.4187931785263133,0.0696799206379898,-0.08338160893905101,,0.772,channel_growth_day=-0.05;channel_growth_short=-0.13;rank_climb=+0.12;steam_growth=-0.08;viewer_growth_day=+0.07;viewer_growth_short=+0.84,1422450
2026-09-09T16,386821,Black Desert,True,42,8569,98,0.1057,0.3748950420234864,-0.01471211013192652,-0.020202707317519466,,0.77,channel_growth_day=-0.02;channel_growth_short=-0.03;rank_climb=+0.08;viewer_growth_day=-0.01;viewer_growth_short=+0.75,582660
2026-09-09T16,493057,PUBG: BATTLEGROUNDS,True,30,13241,100,0.1422,0.4801600080604678,-0.20649642654722988,0.010050335853501506,,0.734,channel_growth_day=+0.01;channel_growth_short=+0.02;rank_climb=-0.04;steam_growth=-0.00;viewer_growth_day=-0.21;viewer_growth_short=+0.96,578080
2026-09-09T16,513181,Genshin Impact,True,85,3429,100,0.1969,0.652290191026476,-0.25205942791047276,0.0,,0.693,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=-0.36;viewer_growth_day=-0.25;viewer_growth_short=+1.30,
2026-09-09T16,1599346425,Co-working & Studying,False,86,3006,100,0.0825,0.27249525036035305,0.032457210147381704,0.0,,0.657,channel_growth_day=+0.00;channel_growth_short=+0.00;rank_climb=+0.08;viewer_growth_day=+0.03;viewer_growth_short=+0.54,
2026-09-09T16,1183694848,"KOTÁMON: My Sis Found A Super-Rare Card In Her Cereal Box, So I Became A Garbage Man To Find The Entire Collection And Earn $1,000,000",True,79,4332,6,0.9958,-0.20975796383689013,,-0.5108256237659907,ENTRY IGNITION:melharucos,0.564,channel_growth_short=-0.77;entry_day=+0.75;ignition=+1.00;viewer_growth_short=-0.42,4294490
2026-09-09T16,459931,Old School RuneScape,True,59,6322,100,0.1952,0.12269860886191684,0.027908788117076658,0.0,,0.528,channel_growth_day=+0.02;channel_growth_short=+0.00;rank_climb=+0.24;viewer_growth_day=+0.03;viewer_growth_short=+0.25,1343370
2026-09-09T16,499634,Crypto,True,64,5725,99,0.2582,0.3815609626294855,-0.17633570053864883,0.06252035698133393,,0.513,channel_growth_day=-0.01;channel_growth_short=+0.09;rank_climb=-0.16;viewer_growth_day=-0.18;viewer_growth_short=+0.76,
