snapshot_hour_utc,appid,rank,last_week_rank,peak_in_game
2026-09-01T11,322330,42,42,49976
2026-09-01T11,3241660,43,40,26143
2026-09-01T11,394360,44,41,48988
2026-09-01T11,284160,45,44,24888
2026-09-01T11,3678970,46,39,93216
2026-09-01T11,1449850,47,45,21723
2026-09-01T11,2483190,48,51,23662
2026-09-01T11,1938090,49,43,25683
2026-09-01T11,4000,50,47,30016
2026-09-01T11,252950,51,53,25886
2026-09-01T11,1281930,52,46,35141
2026-09-01T11,1665460,53,49,23105
2026-09-01T11,1142710,54,52,39288
2026-09-01T11,1222670,55,55,29554
2026-09-01T11,489830,56,56,31230
2026-09-01T11,1364780,57,63,34882
2026-09-01T11,261550,58,59,42022
2026-09-01T11,289070,59,65,40137
2026-09-01T11,3513350,60,58,15290
2026-09-01T11,1808500,61,64,30213
2026-09-01T11,1905180,62,60,29044
2026-09-01T11,2358720,63,54,39018
2026-09-01T11,2300320,64,67,48399
2026-09-01T11,291550,65,66,14111
2026-09-01T11,221100,66,73,52408
2026-09-01T11,251570,67,71,36295
2026-09-01T11,3419430,68,62,162054
2026-09-01T11,2073620,69,72,33652
2026-09-01T11,3321460,70,157,28437
2026-09-01T11,4704690,71,61,11839
2026-09-01T11,292030,72,95,24224
2026-09-01T11,945360,73,75,13158
2026-09-01T11,1366800,74,68,40802
2026-09-01T11,3551340,75,76,50339
2026-09-01T11,3472040,76,70,22282
2026-09-01T11,739630,77,87,13952
2026-09-01T11,2139460,78,131,28085
2026-09-01T11,1643320,79,74,33200
2026-09-01T11,1085660,80,77,23197
2026-09-01T11,2073850,81,80,16636
2026-09-01T11,714010,82,78,6248
2026-09-01T11,294100,83,79,32821
2026-09-01T11,594650,84,94,25108
2026-09-01T11,244210,85,82,12331
2026-09-01T11,813780,86,85,20866
2026-09-01T11,960090,87,84,10241
2026-09-01T11,2622380,88,91,31375
2026-09-01T11,2694490,89,103,21979
2026-09-01T11,1551360,90,144,16173
2026-09-01T11,4162040,91,88,10036
2026-09-01T11,3932890,92,86,38289
2026-09-01T11,1329410,93,92,15672
2026-09-01T11,2399830,94,108,32570
2026-09-01T11,1158310,95,81,24996
2026-09-01T11,892970,96,97,23353
2026-09-01T11,1144200,97,99,9597
2026-09-01T11,629520,98,93,17834
2026-09-01T11,2183900,99,100,13273
2026-09-01T11,2246340,100,98,21506
